method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00502,container,0,0.4,0.32542886242602714,0.5714285714285714
prompt,00502,container,16,0.2,0.19526086862591913,0.5714285714285714
prompt,00502,container,64,0.0,0.0,0.0
prompt,00502,container,256,0.0,0.0,0.0
prompt,00502,large-vehicle,0,0.5,0.4322788421471916,0.6
prompt,00502,large-vehicle,16,0.4,0.3471357245055706,0.6
prompt,00502,large-vehicle,64,0.0,0.0,0.0
prompt,00502,large-vehicle,256,0.0,0.0,0.0
prompt,00502,ship,0,0.4,0.467122359745432,0.7471264367816092
prompt,00502,ship,16,0.3,0.24703059344735182,0.5517241379310345
prompt,00502,ship,64,0.0,0.0,0.0
prompt,00502,ship,256,0.0,0.0,0.0
prompt,00502,small-vehicle,0,0.5,0.448668937538067,0.2640449438202247
prompt,00502,small-vehicle,16,0.4,0.38504814933911535,0.14606741573033707
prompt,00502,small-vehicle,64,0.0,0.0,0.0
prompt,00502,small-vehicle,256,0.0,0.0,0.0
prompt,00502,swimming-pool,0,0.3,0.7227265726449519,1.0
prompt,00502,swimming-pool,16,0.3,0.7227265726449519,1.0
prompt,00502,swimming-pool,64,0.3,0.8318724637288826,1.0
prompt,00502,swimming-pool,256,0.1,0.6131471927654584,0.5
prompt,00510,airplane,0,0.6,0.684383072597662,0.6538461538461539
prompt,00510,airplane,16,0.6,0.684383072597662,0.6538461538461539
prompt,00510,airplane,64,0.4,0.4354747455750672,0.5
prompt,00510,airplane,256,0.0,0.0,0.0
prompt,00510,small-vehicle,0,0.3,0.4440973278132557,0.8452088452088452
prompt,00510,small-vehicle,16,0.3,0.4440973278132557,0.8353808353808354
prompt,00510,small-vehicle,64,0.0,0.0,0.0
prompt,00510,small-vehicle,256,0.0,0.0,0.0
prompt,00514,airplane,0,0.9,0.9216017310213247,0.5808823529411765
prompt,00514,airplane,16,0.9,0.9216017310213247,0.5588235294117647
prompt,00514,airplane,64,0.9,0.9216017310213247,0.45588235294117646
prompt,00514,airplane,256,0.1,0.11751610475642714,0.007352941176470588
prompt,00514,storage-tank,0,0.1,0.23463936301137822,1.0
prompt,00514,storage-tank,16,0.1,0.23463936301137822,1.0
prompt,00514,storage-tank,64,0.1,0.5,1.0
prompt,00514,storage-tank,256,0.0,0.0,0.0
prompt,00529,windmill,0,1.0,1.0,0.34545454545454546
prompt,00529,windmill,16,1.0,1.0,0.34545454545454546
